0,1,2,3,4,5
1,1,1,1,1,1
2,1.076731945,1.076732304,1.076731904,1.076731904,1.076731945
3,1.219710944,1.272694184,1.28031298,1.256117234,1.320932242
4,1.393078127,1.463717926,1.432563101,1.424624028,1.698093195
5,1.539221527,1.603932484,1.498485545,1.535857421,2.120710664
6,1.616698346,1.716356297,1.519603618,1.594746662,2.481662984
7,1.599320881,1.768904811,1.46604278,1.580936812,2.762290004
8,1.553168002,1.833457571,1.437066865,1.563235817,3.027946425
9,1.478835846,1.914782262,1.447209455,1.550115613,3.227569137
10,1.377880144,2.00495703,1.468709853,1.535397141,3.306440865
11,1.274517959,2.07891088,1.516563682,1.532434253,3.384528637
12,1.274517959,2.12891088,1.516563682,1.532434253,3.434528637
13,1.274517959,2.15891088,1.516563682,1.532434253,3.464528637
14,1.274517959,2.17891088,1.516563682,1.532434253,3.484528637
15,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
16,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
17,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
18,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
19,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
20,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
21,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
22,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
23,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
24,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
25,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
26,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
27,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
28,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
29,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
30,1.274517959,2.18891088,1.516563682,1.532434253,3.494528637
