0,1,2,3,4,5
1,1,1,1,1,1
2,1.446,1.446,1.446,1.446,1.446
3,2.2012,2.1541,2.0973,2.1394,2.2854
4,3.2711,2.9273,2.6399,2.9106,3.7078
5,4.4982,3.7353,3.0575,3.6432,5.4923
6,5.7026,4.5837,3.3831,4.2741,7.4244
7,6.8986,5.5404,3.7046,4.8599,9.5761
8,8.0225,6.6121,4.0509,5.3759,11.908
9,9.0328,7.7844,4.4206,5.8232,14.389
10,9.9081,9.065,4.8297,6.2354,16.997
11,10.499,10.484,5.2812,6.6055,19.564
12,10.824,12.174,5.7481,6.9385,21.95
13,11.081,14.025,6.2336,7.2617,24.183
14,11.267,16.038,6.7367,7.5732,26.129
15,11.385,18.208,7.2573,7.8714,27.632
16,11.385,18.208,7.2573,7.8714,27.632
17,11.385,18.208,7.2573,7.8714,27.632
18,11.385,18.208,7.2573,7.8714,27.632
19,11.385,18.208,7.2573,7.8714,27.632
20,11.385,18.208,7.2573,7.8714,27.632
21,11.385,18.208,7.2573,7.8714,27.632
22,11.385,18.208,7.2573,7.8714,27.632
23,11.385,18.208,7.2573,7.8714,27.632
24,11.385,18.208,7.2573,7.8714,27.632
25,11.385,18.208,7.2573,7.8714,27.632
26,11.385,18.208,7.2573,7.8714,27.632
27,11.385,18.208,7.2573,7.8714,27.632
28,11.385,18.208,7.2573,7.8714,27.632
29,11.385,18.208,7.2573,7.8714,27.632
30,11.385,18.208,7.2573,7.8714,27.632
