0,1,2,3,4,5
1,6.405,6.405,6.405,6.405,6.405
2,7.1691,7.1691,7.1691,7.1691,7.1691
3,7.73,7.8843,8.0182,7.8682,7.7462
4,8.1454,8.4857,8.809,8.452,8.1868
5,8.399,8.9569,9.5382,8.9166,8.4734
6,8.4638,9.2732,10.22,9.249,8.5846
7,8.3616,9.4276,10.815,9.435,8.543
8,8.1146,9.4502,11.361,9.5062,8.366
9,7.7336,9.3558,11.888,9.4918,8.067
10,7.2388,9.172,12.398,9.4222,7.6652
11,6.5946,8.99,12.881,9.2964,7.1466
12,5.8834,8.8808,13.342,9.1232,6.5496
13,5.2488,8.7736,13.803,8.9502,5.9526
14,4.6824,8.6676,14.263,8.7772,5.3556
15,4.1776,8.5624,14.724,8.6042,4.7586
16,4.1776,8.5624,14.724,8.6042,4.7586
17,4.1776,8.5624,14.724,8.6042,4.7586
18,4.1776,8.5624,14.724,8.6042,4.7586
19,4.1776,8.5624,14.724,8.6042,4.7586
20,4.1776,8.5624,14.724,8.6042,4.7586
21,4.1776,8.5624,14.724,8.6042,4.7586
22,4.1776,8.5624,14.724,8.6042,4.7586
23,4.1776,8.5624,14.724,8.6042,4.7586
24,4.1776,8.5624,14.724,8.6042,4.7586
25,4.1776,8.5624,14.724,8.6042,4.7586
26,4.1776,8.5624,14.724,8.6042,4.7586
27,4.1776,8.5624,14.724,8.6042,4.7586
28,4.1776,8.5624,14.724,8.6042,4.7586
29,4.1776,8.5624,14.724,8.6042,4.7586
30,4.1776,8.5624,14.724,8.6042,4.7586
