Graph Used In,A,Year,Unit:,Time,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
,AU,1G and 2G Biofuel Consumption,MMToe,Baseline,0.639,0.6584879872,0.6680508817,0.6774849891,0.7554632195,0.7655394732,0.8459530842,0.9279765963,0.9393055636,1.0235415367,1.1092500618,1.1963788573,1.2848751855,1.3746860315,1.465758276,1.5580388594,1.6514749379,1.8253783037,1.9216738976,2.0189520301,2.1985914333,2.2983379686,2.4816218043,2.6669154203,2.8541222816,2.9586158199,3.1487963874,3.4262856142,3.6202192824,3.8156140781,4.012386532,4.2981735234,4.4979380652,4.7874876541,5.0789880422,5.3723266336,5.6673946944,5.9640873725,6.3530617274,6.6530847437,7.0459340946,7.3488645707,7.7451332688,8.1431178471,8.5427064982,8.9437922317,9.4397355131,9.8438010124,10.3430885029,10.7497211554,11.251919591,11.7555479388,12.3555462526,12.8619627628,13.4650043338,13.9738047922,14.5794726272,15.1864096216,15.7945192886,16.4037101993,17.1105656584,17.7218348336,18.4309379326,19.1411133433,19.8522743251,20.5643389427,21.2772298652,21.9908741703,22.7052031524,23.4201521361,24.2337727345,24.9498984183,25.7648069289,26.4818768768,27.2978375316,28.0156472705,28.8324521976,29.6496547547,30.3682891606,31.1860672595,32.0041162728,32.8223982918,33.5416423275,34.3602153378,35.0795497303,35.8983021045,36.6176343777,37.4364700745,38.2553449316,38.9745585232,39.6936631272,40.5124314458,41.2313337807,42.0499747634,42.7686291857,43.4871233913
,AU,1G and 2G Biofuel Consumption,MMToe,NoBioF,1.278,1.3169759744,1.3361017634,1.3549699783,1.4422479646,1.4614844488,1.5509139878,1.6418047473,1.6618483049,1.7546426344,1.8487501029,1.9441156432,2.0406841182,2.1384004934,2.2372100002,2.3370582891,2.5165332387,2.6190210444,2.722371355,2.9072909233,3.0128845568,3.2012564562,3.3088290724,3.5003264892,3.6935700114,3.8884665061,4.0849250432,4.2828570177,5.9475031069,6.2437321277,6.4547087688,6.7542726796,6.9673942579,7.2698886599,7.5739295366,8.3271062821,9.6255751159,71.2075886295,114.6273851669,146.7324169493,172.4881268622,194.3774678961,213.1755728271,229.9505437515,244.9528232854,258.6246586995,271.228836227,282.9389662417,293.7437134813,304.0096579388,313.6354393554,322.7087514805,331.4137675604,339.6510907353,347.607204079,355.1834903007,362.568464019,369.7602393311,376.4681457257,383.1713717725,389.6762156434,395.9813258721,402.0854617411,408.1818129704,413.9783087209,419.7659138684,425.4469953324,430.9233965188,436.3900898982,441.6511534614,446.9021652057,452.0450099246,457.0794755935,462.1038292181,467.0196825348,471.925551204,476.7228740061,481.5103932156,486.1893850954,490.9578017143,495.5188404965,500.0705576596,504.7124049641,509.1468902799,513.6719335862,517.9896278734,522.4978209709,526.7988382021,531.291027397,535.5762223659,539.9534979163,544.3234323568,548.6862238705,552.9421859624,557.2912265628,561.5337289399
Consumption of Biofuels,AI,1G Biofuel Consumption,MM Toe,Baseline,0.639,0.6584879872,0.6680508817,0.6774849891,0.7554632195,0.7655394732,0.8459530842,0.9279765963,0.9393055636,1.0235415367,1.1092500618,1.1963788573,1.2848751855,1.3746860315,1.465758276,1.5580388594,1.6514749379,1.8253783037,1.9216738976,2.0189520301,2.1985914333,2.2983379686,2.4816218043,2.6669154203,2.8541222816,2.9586158199,3.1487963874,3.4262856142,3.6202192824,3.8156140781,4.012386532,4.2981735234,4.4979380652,4.7874876541,5.0789880422,5.3723266336,5.6673946944,5.9640873725,6.3530617274,6.6530847437,7.0459340946,7.3488645707,7.7451332688,8.1431178471,8.5427064982,8.9437922317,9.4397355131,9.8438010124,10.3430885029,10.7497211554,11.251919591,11.7555479388,12.3555462526,12.8619627628,13.4650043338,13.9738047922,14.5794726272,15.1864096216,15.7945192886,16.4037101993,17.1105656584,17.7218348336,18.4309379326,19.1411133433,19.8522743251,20.5643389427,21.2772298652,21.9908741703,22.7052031524,23.4201521361,24.2337727345,24.9498984183,25.7648069289,26.4818768768,27.2978375316,28.0156472705,28.8324521976,29.6496547547,30.3682891606,31.1860672595,32.0041162728,32.8223982918,33.5416423275,34.3602153378,35.0795497303,35.8983021045,36.6176343777,37.4364700745,38.2553449316,38.9745585232,39.6936631272,40.5124314458,41.2313337807,42.0499747634,42.7686291857,43.4871233913
Consumption of Biofuels,AI,1G Biofuel Consumption,MM Toe,NoBioF,0.639,0.6584879872,0.6680508817,0.6774849891,0.7554632195,0.7655394732,0.8459530842,0.9279765963,0.9393055636,1.0235415367,1.1092500618,1.1963788573,1.2848751855,1.3746860315,1.465758276,1.5580388594,1.7301166016,1.8253783037,1.9216738976,2.0997101113,2.1985914333,2.3804214675,2.4816218043,2.6669154203,2.8541222816,3.0431477004,3.2338989925,3.4262856142,3.6202192824,3.9023325798,4.0996123261,4.3858913504,4.5861329293,4.8761448329,5.1680930956,5.4618654109,5.7573533403,6.0544523327,6.3530617274,6.7442228908,7.0459340946,7.4407253779,7.7451332688,8.1431178471,8.5427064982,8.9437922317,9.3462727852,9.8438010124,10.2490604256,10.7497211554,11.251919591,11.7555479388,12.2605035891,12.7666889645,13.2740113646,13.7823828088,14.3876374611,14.9941765884,15.5055951552,16.1142329605,16.7238862085,17.3344723236,17.9459132502,18.6552982838,19.2683839038,19.8821096887,20.5940160622,21.208976422,21.9222651126,22.5382217209,23.2526483323,23.967618953,24.584739436,25.3005292094,26.0167115824,26.7332408813,27.3513330778,28.0683398344,28.7855770219,29.5030096614,30.1215211979,30.8391718089,31.5569297638,32.1754617614,32.8932888406,33.5117113829,34.2295277879,34.8477779948,35.5655159911,36.1835415445,36.8014112913,37.5189020286,38.1364879037,38.7538959815,39.3711212598,39.9881594403
Consumption of Biofuels,AN,2G Biofuel Consumption,MM Toe,Baseline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumption of Biofuels,AN,2G Biofuel Consumption,MM Toe,NoBioF,0.639,0.6584879872,0.6680508817,0.6774849891,0.686784745,0.6959449756,0.7049609035,0.713828151,0.7225427413,0.7311010977,0.7395000412,0.7477367858,0.7558089327,0.7637144619,0.7714517242,0.7790194297,0.7864166371,0.7936427407,0.8006974573,0.807580812,0.8142931235,0.8208349888,0.8272072681,0.8334110688,0.8394477299,0.8453188057,0.8510260507,0.8565714035,2.3272838244,2.3413995479,2.3550964427,2.3683813292,2.3812613287,2.393743827,2.405836441,2.8652408713,3.8682217755,65.1531362968,108.2743234395,139.9881940584,165.4421927676,186.9367425183,205.4304395583,221.8074259043,236.4101167872,249.6808664678,261.8825634418,273.0951652293,283.4946530558,293.2599367834,302.3835197644,310.9532035417,319.1532639713,326.8844017708,334.3331927145,341.401107492,348.1808265579,354.7660627427,360.9625505705,367.057138812,372.9523294349,378.6468535485,384.1395484909,389.5265146866,394.7099248171,399.8838041797,404.8529792702,409.7144200968,414.4678247856,419.1129317405,423.6495168734,428.0773909716,432.4947361576,436.8033000087,441.0029709523,445.1923103227,449.3715409283,453.4420533812,457.4038080735,461.4547920529,465.3973192986,469.2313858507,473.1554752003,476.9714285185,480.7786447456,484.4779164905,488.2682931831,491.9510602073,495.7255114058,499.3926808213,503.152086625,506.8045303282,510.5497359668,514.188289981,517.9201053031,521.5455694997
GHG Emissions,AA,Biofuels Combustion,GtCO2-eq,Baseline,0.0011,0.00112,0.00113,0.00115,0.00123,0.00132,0.00142,0.00153,0.00165,0.00177,0.0019,0.00204,0.00219,0.00234,0.00251,0.00269,0.00288,0.00307,0.00328,0.00351,0.00374,0.00399,0.00425,0.00453,0.00482,0.00513,0.00546,0.0058,0.00616,0.00653,0.00693,0.00735,0.00779,0.00824,0.00872,0.00921,0.00973,0.01027,0.01083,0.01141,0.01202,0.01265,0.0133,0.01398,0.01468,0.0154,0.01615,0.01693,0.01773,0.01855,0.0194,0.02027,0.02118,0.02211,0.02307,0.02406,0.02508,0.02612,0.02719,0.02828,0.0294,0.03054,0.0317,0.03289,0.03409,0.03532,0.03656,0.03781,0.03907,0.04036,0.04165,0.04296,0.04428,0.04562,0.04696,0.0483,0.04965,0.05101,0.05237,0.05373,0.05508,0.05644,0.05779,0.05914,0.06048,0.06182,0.06315,0.06447,0.06581,0.06714,0.06846,0.06977,0.07107,0.07236,0.07365,0.07492
,AP,Biofuels Combustion,GtCO2-eq/yr,Baseline,0.0011,0.00112,0.00113,0.00115,0.00123,0.00132,0.00142,0.00153,0.00165,0.00177,0.0019,0.00204,0.00219,0.00234,0.00251,0.00269,0.00288,0.00307,0.00328,0.00351,0.00374,0.00399,0.00425,0.00453,0.00482,0.00513,0.00546,0.0058,0.00616,0.00653,0.00693,0.00735,0.00779,0.00824,0.00872,0.00921,0.00973,0.01027,0.01083,0.01141,0.01202,0.01265,0.0133,0.01398,0.01468,0.0154,0.01615,0.01693,0.01773,0.01855,0.0194,0.02027,0.02118,0.02211,0.02307,0.02406,0.02508,0.02612,0.02719,0.02828,0.0294,0.03054,0.0317,0.03289,0.03409,0.03532,0.03656,0.03781,0.03907,0.04036,0.04165,0.04296,0.04428,0.04562,0.04696,0.0483,0.04965,0.05101,0.05237,0.05373,0.05508,0.05644,0.05779,0.05914,0.06048,0.06182,0.06315,0.06447,0.06581,0.06714,0.06846,0.06977,0.07107,0.07236,0.07365,0.07492
GHG Emissions,AA,Biofuels Combustion,GtCO2-eq,NoBioF,0.0011,0.00112,0.00113,0.00115,0.00123,0.00132,0.00143,0.00153,0.00165,0.00178,0.00191,0.00205,0.0022,0.00236,0.00253,0.0027,0.00289,0.0031,0.00331,0.00354,0.00377,0.00403,0.00429,0.00458,0.00487,0.00519,0.00552,0.00587,0.00623,0.00662,0.00702,0.00745,0.0079,0.00837,0.00886,0.00937,0.00991,0.01041,0.01095,0.01151,0.01209,0.01271,0.01334,0.014,0.01468,0.01539,0.01612,0.01687,0.01765,0.01846,0.01928,0.02014,0.02101,0.02191,0.02283,0.02377,0.02474,0.02572,0.02672,0.02774,0.02879,0.02985,0.03093,0.03203,0.03314,0.03427,0.0354,0.03655,0.03771,0.03887,0.04004,0.04121,0.04239,0.04358,0.04477,0.04596,0.04715,0.04835,0.04954,0.05073,0.05192,0.0531,0.05428,0.05545,0.05662,0.05777,0.05892,0.06005,0.06118,0.06232,0.06345,0.06456,0.06567,0.06676,0.06784,0.06892
,AP,Biofuels Combustion,GtCO2-eq/yr,NoBioF,0.00149,0.00151,0.00153,0.00155,0.00164,0.00174,0.00185,0.00196,0.00208,0.00222,0.00235,0.0025,0.00265,0.00282,0.00299,0.00317,0.00336,0.00358,0.00379,0.00402,0.00426,0.00452,0.00479,0.00508,0.00537,0.0057,0.00603,0.00639,0.00764,0.00803,0.00844,0.00888,0.00934,0.00982,0.01031,0.0111,0.01222,0.04968,0.07623,0.09592,0.1119,0.12547,0.1373,0.14785,0.15739,0.16613,0.17421,0.18175,0.18883,0.19554,0.20189,0.20798,0.21381,0.21942,0.22483,0.23007,0.23516,0.2401,0.24491,0.24962,0.25424,0.25875,0.26319,0.26755,0.27184,0.27607,0.28022,0.28432,0.28836,0.29234,0.29628,0.30016,0.304,0.30782,0.31159,0.31532,0.31902,0.3227,0.32633,0.32994,0.33352,0.33707,0.3406,0.34409,0.34757,0.35101,0.35444,0.35783,0.36122,0.36462,0.368,0.37136,0.37471,0.37803,0.38134,0.38464
