date,1G Biofuel Consumption1,2G Biofuel Consumption1
2005,0.639,0.639
2006,0.6584879872,0.6584879872
2007,0.6680508817,0.6680508817
2008,0.6774849891,0.6774849891
2009,0.7554632195,0.686784745
2010,0.7655394732,0.6959449756
2011,0.8459530842,0.7049609035
2012,0.9279765963,0.713828151
2013,0.9393055636,0.7225427413
2014,1.0235415367,0.7311010977
2015,1.1092500618,0.7395000412
2016,1.1963788573,0.7477367858
2017,1.2848751855,0.7558089327
2018,1.3746860315,0.7637144619
2019,1.465758276,0.7714517242
2020,1.5580388594,0.7790194297
2021,1.7301166016,0.7864166371
2022,1.8253783037,0.7936427407
2023,1.9216738976,0.8006974573
2024,2.0997101113,0.807580812
2025,2.1985914333,0.8142931235
2026,2.3804214675,0.8208349888
2027,2.4816218043,0.8272072681
2028,2.6669154203,0.8334110688
2029,2.8541222816,0.8394477299
2030,3.0431477004,0.8453188057
2031,3.2338989925,0.8510260507
2032,3.4262856142,0.8565714035
2033,3.6202192824,2.3272838244
2034,3.9023325798,2.3413995479
2035,4.0996123261,2.3550964427
2036,4.3858913504,2.3683813292
2037,4.5861329293,2.3812613287
2038,4.8761448329,2.393743827
2039,5.1680930956,2.405836441
2040,5.4618654109,2.8652408713
2041,5.7573533403,3.8682217755
2042,6.0544523327,65.1531362968
2043,6.3530617274,108.2743234395
2044,6.7442228908,139.9881940584
2045,7.0459340946,165.4421927676
2046,7.4407253779,186.9367425183
2047,7.7451332688,205.4304395583
2048,8.1431178471,221.8074259043
2049,8.5427064982,236.4101167872
2050,8.9437922317,249.6808664678
2051,9.3462727852,261.8825634418
2052,9.8438010124,273.0951652293
2053,10.2490604256,283.4946530558
2054,10.7497211554,293.2599367834
2055,11.251919591,302.3835197644
2056,11.7555479388,310.9532035417
2057,12.2605035891,319.1532639713
2058,12.7666889645,326.8844017708
2059,13.2740113646,334.3331927145
2060,13.7823828088,341.401107492
2061,14.3876374611,348.1808265579
2062,14.9941765884,354.7660627427
2063,15.5055951552,360.9625505705
2064,16.1142329605,367.057138812
2065,16.7238862085,372.9523294349
2066,17.3344723236,378.6468535485
2067,17.9459132502,384.1395484909
2068,18.6552982838,389.5265146866
2069,19.2683839038,394.7099248171
2070,19.8821096887,399.8838041797
2071,20.5940160622,404.8529792702
2072,21.208976422,409.7144200968
2073,21.9222651126,414.4678247856
2074,22.5382217209,419.1129317405
2075,23.2526483323,423.6495168734
2076,23.967618953,428.0773909716
2077,24.584739436,432.4947361576
2078,25.3005292094,436.8033000087
2079,26.0167115824,441.0029709523
2080,26.7332408813,445.1923103227
2081,27.3513330778,449.3715409283
2082,28.0683398344,453.4420533812
2083,28.7855770219,457.4038080735
2084,29.5030096614,461.4547920529
2085,30.1215211979,465.3973192986
2086,30.8391718089,469.2313858507
2087,31.5569297638,473.1554752003
2088,32.1754617614,476.9714285185
2089,32.8932888406,480.7786447456
2090,33.5117113829,484.4779164905
2091,34.2295277879,488.2682931831
2092,34.8477779948,491.9510602073
2093,35.5655159911,495.7255114058
2094,36.1835415445,499.3926808213
2095,36.8014112913,503.152086625
2096,37.5189020286,506.8045303282
2097,38.1364879037,510.5497359668
2098,38.7538959815,514.188289981
2099,39.3711212598,517.9201053031
2100,39.9881594403,521.5455694997
