date,Biofuels Offsets,Use of Fertilizers,Natural Land Conversion,Forest Sequestration
2005,-0.0036295614,3.967,3.856,-2.741
2006,-0.0036631749,3.859,3.819,-2.749
2007,-0.0037256437,3.752,3.783,-2.761
2008,-0.0037592571,3.637,3.749,-2.773
2009,-0.003939373,3.527,3.716,-2.786
2010,-0.0041362956,3.421,3.685,-2.798
2011,-0.0043211696,3.318,3.654,-2.813
2012,-0.0045348989,3.219,3.625,-2.823
2013,-0.0047365796,3.124,3.596,-2.835
2014,-0.0050007291,3.032,3.569,-2.849
2015,-0.0052192165,2.943,3.542,-2.857
2016,-0.0055001727,2.857,3.517,-2.866
2017,-0.0057522735,2.774,3.492,-2.873
2018,-0.0060668432,2.693,3.468,-2.879
2019,-0.0063525575,2.616,3.446,-2.883
2020,-0.0066839338,2.541,3.424,-2.885
2021,-0.0070032616,2.469,3.402,-2.885
2022,-0.0074018649,2.398,3.382,-2.884
2023,-0.007754806,2.33,3.363,-2.881
2024,-0.0081413607,2.264,3.344,-2.877
2025,-0.0085735774,2.201,3.326,-2.872
2026,-0.0090105522,2.139,3.308,-2.866
2027,-0.0094931891,2.079,3.291,-2.859
2028,-0.009980584,2.021,3.275,-2.851
2029,-0.010467979,1.965,3.26,-2.844
2030,-0.0110514562,1.911,3.245,-2.836
2031,-0.011606078,1.858,3.231,-2.83
2032,-0.0122399754,1.806,3.218,-2.823
2033,-0.0169089444,1.756,3.205,-2.816
2034,-0.0175644066,1.708,3.193,-2.81
2035,-0.0182823376,1.66,3.181,-2.805
2036,-0.0190506888,1.615,3.17,-2.801
2037,-0.0198526534,1.569,3.16,-2.798
2038,-0.0206882315,1.526,3.047,-2.795
2039,-0.0215117609,1.484,2.875,-2.794
2040,-0.0236474425,1.443,2.707,-2.794
2041,-0.0272034074,1.404,2.545,-2.796
2042,-0.1968108668,1.376,2.387,-2.798
2043,-0.3164855531,1.346,2.233,-2.802
2044,-0.4047783278,1.316,2.084,-2.807
2045,-0.4760727524,1.286,1.938,-2.814
2046,-0.5362471893,1.256,1.797,-2.822
2047,-0.5884475653,1.227,1.66,-2.831
2048,-0.6347166264,1.198,1.527,-2.842
2049,-0.6763161045,1.17,1.398,-2.855
2050,-0.7141760485,1.143,1.272,-2.868
2051,-0.7489645831,1.117,1.149,-2.883
2052,-0.7812296535,1.091,1.03,-2.9
2053,-0.8113077012,1.066,0.914,-2.918
2054,-0.839609685,1.041,0.801,-2.937
2055,-0.8662389778,1.017,0.691,-2.958
2056,-0.8915656345,0.994,0.583,-2.981
2057,-0.9156762212,0.972,0.478,-3.003
2058,-0.9386956755,0.95,0.375,-3.028
2059,-0.9607441771,0.929,0.274,-3.055
2060,-0.9819587123,0.908,0.176,-3.082
2061,-1.0024017497,0.889,0.078,-3.111
2062,-1.0221310003,0.87,0,-3.141
2063,-1.0412089329,0.851,0,-3.173
2064,-1.0597725337,0.834,0,-3.206
2065,-1.0778386094,0.816,0,-3.24
2066,-1.0953735467,0.799,0,-3.276
2067,-1.1125311385,0.784,0,-3.312
2068,-1.1292657227,0.768,0,-3.35
2069,-1.1456518169,0.752,0,-3.389
2070,-1.1617062277,0.738,0,-3.43
2071,-1.1773953417,0.725,0,-3.471
2072,-1.1927984344,0.711,0,-3.514
2073,-1.2078986992,0.699,0,-3.558
2074,-1.2227249914,0.687,0,-3.604
2075,-1.2373397797,0.675,0,-3.65
2076,-1.2516805955,0.664,0,-3.698
2077,-1.2658099075,0.654,0,-3.747
2078,-1.2798190399,0.643,0,-3.796
2079,-1.2935998619,0.634,0,-3.846
2080,-1.3071980354,0.624,0,-3.896
2081,-1.3206592226,0.615,0,-3.947
2082,-1.3340002302,0.607,0,-3.997
2083,-1.3471417827,0.599,0,-4.046
2084,-1.3601920111,0.591,0,-4.095
2085,-1.3731052531,0.584,0,-4.143
2086,-1.3859103641,0.576,0,-4.19
2087,-1.398624151,0.569,0,-4.235
2088,-1.4111841449,0.563,0,-4.277
2089,-1.4236984767,0.558,0,-4.317
2090,-1.4360878708,0.551,0,-4.355
2091,-1.4484316028,0.546,0,-4.388
2092,-1.4606503971,0.541,0,-4.418
2093,-1.4728691915,0.535,0,-4.443
2094,-1.4851047926,0.529,0,-4.463
2095,-1.4972779249,0.525,0,-4.479
2096,-1.5094174437,0.519,0,-4.491
2097,-1.5215113004,0.515,0,-4.498
2098,-1.5335258816,0.509,0,-4.502
2099,-1.545523656,0.505,0,-4.502
2100,-1.5574757684,0.501,0,-4.498
