Time,Baseline,NoBioF,Baseline,NoBioF,Baseline,NoBioF,Baseline,NoBioF,Baseline,NoBioF,Baseline,NoBioF,Baseline,NoBioF,Baseline,NoBioF
Year,Converted Land,Converted Land,Cropland,Cropland,Food-Allocated Land,Food-Allocated Land,Forest Area Replanted,Forest Area Replanted,Land Allocated to Biofuels,Land Allocated to Biofuels,Managed Forests,Managed Forests,Protected Land,Protected Land,Unmanaged Forests,Unmanaged Forests
2005,0.00714,0.00749,1.533,1.533,1.5324,1.5324,0.012,0.012,0.0006,0.0008,1.62,1.62,0.207,0.207,2.47,2.47
2006,0.00706,0.00742,1.545,1.545,1.5444,1.5444,0.012,0.012,0.0006,0.0008,1.615,1.615,0.207,0.207,2.463,2.463
2007,0.00698,0.00735,1.556,1.557,1.5554,1.5564,0.012,0.012,0.0006,0.0008,1.611,1.611,0.207,0.207,2.456,2.455
2008,0.00691,0.00728,1.567,1.569,1.5664,1.5684,0.013,0.012,0.0006,0.0008,1.607,1.606,0.207,0.207,2.449,2.448
2009,0.00684,0.00722,1.578,1.58,1.5774,1.5794,0.013,0.013,0.0006,0.0008,1.603,1.602,0.207,0.207,2.442,2.44
2010,0.00677,0.00715,1.589,1.591,1.5883,1.5903,0.013,0.013,0.0007,0.0009,1.599,1.598,0.207,0.207,2.435,2.433
2011,0.0067,0.0071,1.599,1.602,1.5982,1.6012,0.013,0.013,0.0008,0.001,1.596,1.595,0.207,0.207,2.428,2.426
2012,0.00663,0.00704,1.609,1.613,1.6082,1.6122,0.013,0.013,0.0008,0.001,1.592,1.591,0.207,0.207,2.422,2.419
2013,0.00657,0.00698,1.619,1.623,1.6181,1.6221,0.013,0.013,0.0009,0.0011,1.589,1.588,0.207,0.207,2.415,2.412
2014,0.00651,0.00693,1.629,1.633,1.628,1.632,0.013,0.013,0.001,0.0012,1.586,1.585,0.207,0.207,2.408,2.405
2015,0.00645,0.00688,1.638,1.643,1.637,1.642,0.014,0.013,0.001,0.0012,1.583,1.582,0.207,0.207,2.402,2.398
2016,0.00639,0.00683,1.647,1.653,1.6459,1.6519,0.014,0.014,0.0011,0.0013,1.58,1.579,0.207,0.207,2.395,2.391
2017,0.00634,0.00678,1.656,1.662,1.6548,1.6608,0.014,0.014,0.0012,0.0014,1.578,1.576,0.207,0.207,2.389,2.384
2018,0.00628,0.00673,1.665,1.672,1.6637,1.6707,0.014,0.014,0.0013,0.0015,1.576,1.574,0.207,0.207,2.383,2.378
