"x","y"
2005,0.639
2006,0.6584879872
2007,0.6680508817
2008,0.6774849891
2009,0.7554632195
2010,0.7655394732
2011,0.8459530842
2012,0.9279765963
2013,0.9393055636
2014,1.0235415367
2015,1.1092500618
2016,1.1963788573
2017,1.2848751855
2018,1.3746860315
2019,1.465758276
2020,1.5580388594
2021,1.6514749379
2022,1.8253783037
2023,1.9216738976
2024,2.0189520301
2025,2.1985914333
2026,2.2983379686
2027,2.4816218043
2028,2.6669154203
2029,2.8541222816
2030,2.9586158199
2031,3.1487963874
2032,3.4262856142
2033,3.6202192824
2034,3.8156140781
2035,4.012386532
2036,4.2981735234
2037,4.4979380652
2038,4.7874876541
2039,5.0789880422
2040,5.3723266336
2041,5.6673946944
2042,5.9640873725
2043,6.3530617274
2044,6.6530847437
2045,7.0459340946
2046,7.3488645707
2047,7.7451332688
2048,8.1431178471
2049,8.5427064982
2050,8.9437922317
2051,9.4397355131
2052,9.8438010124
2053,10.3430885029
2054,10.7497211554
2055,11.251919591
2056,11.7555479388
2057,12.3555462526
2058,12.8619627628
2059,13.4650043338
2060,13.9738047922
2061,14.5794726272
2062,15.1864096216
2063,15.7945192886
2064,16.4037101993
2065,17.1105656584
2066,17.7218348336
2067,18.4309379326
2068,19.1411133433
2069,19.8522743251
2070,20.5643389427
2071,21.2772298652
2072,21.9908741703
2073,22.7052031524
2074,23.4201521361
2075,24.2337727345
2076,24.9498984183
2077,25.7648069289
2078,26.4818768768
2079,27.2978375316
2080,28.0156472705
2081,28.8324521976
2082,29.6496547547
2083,30.3682891606
2084,31.1860672595
2085,32.0041162728
2086,32.8223982918
2087,33.5416423275
2088,34.3602153378
2089,35.0795497303
2090,35.8983021045
2091,36.6176343777
2092,37.4364700745
2093,38.2553449316
2094,38.9745585232
2095,39.6936631272
2096,40.5124314458
2097,41.2313337807
2098,42.0499747634
2099,42.7686291857
2100,43.4871233913
