"x","y"
2005,0.639
2006,0.6584879872
2007,0.6680508817
2008,0.6774849891
2009,0.7554632195
2010,0.7655394732
2011,0.8459530842
2012,0.9279765963
2013,0.9393055636
2014,1.0235415367
2015,1.1092500618
2016,1.1963788573
2017,1.2848751855
2018,1.3746860315
2019,1.465758276
2020,1.5580388594
2021,1.7301166016
2022,1.8253783037
2023,1.9216738976
2024,2.0997101113
2025,2.1985914333
2026,2.3804214675
2027,2.4816218043
2028,2.6669154203
2029,2.8541222816
2030,3.0431477004
2031,3.2338989925
2032,3.4262856142
2033,3.6202192824
2034,3.9023325798
2035,4.0996123261
2036,4.3858913504
2037,4.5861329293
2038,4.8761448329
2039,5.1680930956
2040,5.4618654109
2041,5.7573533403
2042,6.0544523327
2043,6.3530617274
2044,6.7442228908
2045,7.0459340946
2046,7.4407253779
2047,7.7451332688
2048,8.1431178471
2049,8.5427064982
2050,8.9437922317
2051,9.3462727852
2052,9.8438010124
2053,10.2490604256
2054,10.7497211554
2055,11.251919591
2056,11.7555479388
2057,12.2605035891
2058,12.7666889645
2059,13.2740113646
2060,13.7823828088
2061,14.3876374611
2062,14.9941765884
2063,15.5055951552
2064,16.1142329605
2065,16.7238862085
2066,17.3344723236
2067,17.9459132502
2068,18.6552982838
2069,19.2683839038
2070,19.8821096887
2071,20.5940160622
2072,21.208976422
2073,21.9222651126
2074,22.5382217209
2075,23.2526483323
2076,23.967618953
2077,24.584739436
2078,25.3005292094
2079,26.0167115824
2080,26.7332408813
2081,27.3513330778
2082,28.0683398344
2083,28.7855770219
2084,29.5030096614
2085,30.1215211979
2086,30.8391718089
2087,31.5569297638
2088,32.1754617614
2089,32.8932888406
2090,33.5117113829
2091,34.2295277879
2092,34.8477779948
2093,35.5655159911
2094,36.1835415445
2095,36.8014112913
2096,37.5189020286
2097,38.1364879037
2098,38.7538959815
2099,39.3711212598
2100,39.9881594403
