0,1,2,3,4,5
1,0.9,0.9,0.9,0.9,0.9
2,1.0894,1.0871,1.0863,1.0878,1.0896
3,1.3488,1.3502,1.3524,1.3529,1.3637
4,1.6349,1.6621,1.671,1.6598,1.7084
5,1.9464,2.0186,2.0221,1.9906,2.1425
6,2.2551,2.3881,2.3773,2.3152,2.6327
7,2.5452,2.7593,2.7392,2.6305,3.1409
8,2.8254,3.1463,3.119,2.9426,3.6653
9,3.0853,3.5415,3.5146,3.2389,4.1858
10,3.31,3.93,3.9139,3.5047,4.6784
11,3.4333,4.2713,4.2073,3.6556,5.0818
12,3.4402,4.5514,4.342,3.6602,5.3857
13,3.4472,4.8315,4.4766,3.6649,5.6897
14,3.4541,5.1115,4.6113,3.6695,5.9937
15,3.4611,5.3916,4.7459,3.6741,6.2977
16,3.4611,5.3916,4.7459,3.6741,6.2977
17,3.4611,5.3916,4.7459,3.6741,6.2977
18,3.4611,5.3916,4.7459,3.6741,6.2977
19,3.4611,5.3916,4.7459,3.6741,6.2977
20,3.4611,5.3916,4.7459,3.6741,6.2977
21,3.4611,5.3916,4.7459,3.6741,6.2977
22,3.4611,5.3916,4.7459,3.6741,6.2977
23,3.4611,5.3916,4.7459,3.6741,6.2977
24,3.4611,5.3916,4.7459,3.6741,6.2977
25,3.4611,5.3916,4.7459,3.6741,6.2977
26,3.4611,5.3916,4.7459,3.6741,6.2977
27,3.4611,5.3916,4.7459,3.6741,6.2977
28,3.4611,5.3916,4.7459,3.6741,6.2977
29,3.4611,5.3916,4.7459,3.6741,6.2977
30,3.4611,5.3916,4.7459,3.6741,6.2977
